1920 1080
result_img/img_614_124_0_PLATE.jpg 975 465
result_img/img_615_125_0_PLATE.jpg 968 467
result_img/img_616_126_0_PLATE.jpg 968 469
result_img/img_617_127_0_PLATE.jpg 975 467
result_img/img_618_128_0_PLATE.jpg 980 465
result_img/img_619_129_0_PLATE.jpg 980 468
result_img/img_620_130_0_PLATE.jpg 986 469
result_img/img_621_131_0_PLATE.jpg 985 479
result_img/img_622_132_0_PLATE.jpg 990 488
result_img/img_623_133_0_PLATE.jpg 991 502
result_img/img_624_134_0_PLATE.jpg 992 505
result_img/img_625_135_0_PLATE.jpg 995 507
result_img/img_626_136_0_PLATE.jpg 997 512
result_img/img_627_137_0_PLATE.jpg 998 509
result_img/img_628_138_0_PLATE.jpg 998 513
result_img/img_629_139_0_PLATE.jpg 996 513
result_img/img_630_140_0_PLATE.jpg 1000 513
result_img/img_631_141_0_PLATE.jpg 1005 518
result_img/img_632_142_0_PLATE.jpg 1013 527
result_img/img_633_143_0_PLATE.jpg 1018 533
result_img/img_634_144_0_PLATE.jpg 1020 538
result_img/img_635_145_0_PLATE.jpg 1038 547
result_img/img_636_146_0_PLATE.jpg 1042 552
result_img/img_637_147_0_PLATE.jpg 1044 553
result_img/img_638_148_0_PLATE.jpg 1049 553
result_img/img_639_149_0_PLATE.jpg 1053 554
result_img/img_640_150_0_PLATE.jpg 1066 558
result_img/img_641_151_0_PLATE.jpg 1066 567
result_img/img_642_152_0_PLATE.jpg 1073 574
result_img/img_643_153_0_PLATE.jpg 1075 586
result_img/img_644_154_0_PLATE.jpg 1082 592
result_img/img_645_155_0_PLATE.jpg 1092 595
result_img/img_646_156_0_PLATE.jpg 1097 597
result_img/img_647_157_0_PLATE.jpg 1101 596
result_img/img_648_158_0_PLATE.jpg 1114 598
result_img/img_649_159_0_PLATE.jpg 1120 607
result_img/img_650_160_0_PLATE.jpg 1126 617
result_img/img_651_161_0_PLATE.jpg 1129 626
result_img/img_652_162_0_PLATE.jpg 1139 633
result_img/img_653_163_0_PLATE.jpg 1151 637
result_img/img_654_164_0_PLATE.jpg 1164 639
result_img/img_655_165_0_PLATE.jpg 1175 644
result_img/img_656_166_0_PLATE.jpg 1198 644
result_img/img_657_167_0_PLATE.jpg 1211 659
result_img/img_658_168_0_PLATE.jpg 1222 672
result_img/img_659_169_0_PLATE.jpg 1237 675
result_img/img_660_170_0_PLATE.jpg 1250 681
result_img/img_661_171_0_PLATE.jpg 1263 683
result_img/img_662_172_0_PLATE.jpg 1269 686
result_img/img_663_173_0_PLATE.jpg 1286 694
result_img/img_664_174_0_PLATE.jpg 1300 702
result_img/img_665_175_0_PLATE.jpg 1320 713
result_img/img_666_176_0_PLATE.jpg 1345 723
result_img/img_667_177_0_PLATE.jpg 1365 726
result_img/img_668_178_0_PLATE.jpg 1387 731
result_img/img_669_179_0_PLATE.jpg 1419 744
result_img/img_670_180_0_PLATE.jpg 1431 757
result_img/img_671_181_0_PLATE.jpg 1449 766
result_img/img_672_182_0_PLATE.jpg 1481 768
result_img/img_673_183_0_PLATE.jpg 1504 773
result_img/img_674_184_0_PLATE.jpg 1529 785
result_img/img_675_185_0_PLATE.jpg 1557 796
result_img/img_676_186_0_PLATE.jpg 1582 798
result_img/img_677_187_0_PLATE.jpg 1605 808
result_img/img_678_188_0_PLATE.jpg 1635 805
result_img/img_679_189_0_PLATE.jpg 1669 809
result_img/img_680_190_0_PLATE.jpg 1704 819
result_img/img_681_191_0_PLATE.jpg 1731 822
result_img/img_682_192_0_PLATE.jpg 1741 844
result_img/img_684_193_0_PLATE.jpg 1837 847
result_img/img_997_194_0_PLATE.jpg 1231 1061
result_img/img_998_195_0_PLATE.jpg 1254 1052
result_img/img_999_196_0_PLATE.jpg 1277 1042
result_img/img_1000_197_0_PLATE.jpg 1293 1037
result_img/img_1001_198_0_PLATE.jpg 1309 1032
result_img/img_1002_199_0_PLATE.jpg 1322 1021
result_img/img_1003_200_0_PLATE.jpg 1326 1011
result_img/img_1004_201_0_PLATE.jpg 1352 1010
result_img/img_1005_202_0_PLATE.jpg 1368 1002
result_img/img_1006_203_0_PLATE.jpg 1376 994
result_img/img_1007_204_0_PLATE.jpg 1397 990
result_img/img_1008_205_0_PLATE.jpg 1422 977
result_img/img_1009_206_0_PLATE.jpg 1442 970
result_img/img_1010_207_0_PLATE.jpg 1453 958
result_img/img_1011_208_0_PLATE.jpg 1463 950
result_img/img_1012_209_0_PLATE.jpg 1468 940
result_img/img_1013_210_0_PLATE.jpg 1479 935
result_img/img_1014_211_0_PLATE.jpg 1486 923
result_img/img_1015_212_0_PLATE.jpg 1494 912
result_img/img_1016_213_0_PLATE.jpg 1504 910
result_img/img_1017_214_0_PLATE.jpg 1513 902
result_img/img_1018_215_0_PLATE.jpg 1520 894
result_img/img_1019_216_0_PLATE.jpg 1530 888
result_img/img_1020_217_0_PLATE.jpg 1539 878
result_img/img_1021_218_0_PLATE.jpg 1550 873
result_img/img_1022_219_0_PLATE.jpg 1564 867
result_img/img_1023_220_0_PLATE.jpg 1566 858
result_img/img_1024_221_0_PLATE.jpg 1578 851
result_img/img_1025_222_0_PLATE.jpg 1583 843
result_img/img_1026_223_0_PLATE.jpg 1584 838
result_img/img_1027_224_0_PLATE.jpg 1589 832
result_img/img_1028_225_0_PLATE.jpg 1593 828
result_img/img_1029_226_0_PLATE.jpg 1599 822
result_img/img_1030_227_0_PLATE.jpg 1597 816
result_img/img_1031_228_0_PLATE.jpg 1601 811
result_img/img_1032_229_0_PLATE.jpg 1602 809
result_img/img_1033_230_0_PLATE.jpg 1603 801
result_img/img_1034_231_0_PLATE.jpg 1606 792
result_img/img_1035_232_0_PLATE.jpg 1609 788
result_img/img_1036_233_0_PLATE.jpg 1609 782
result_img/img_1037_234_0_PLATE.jpg 1605 775
result_img/img_1038_235_0_PLATE.jpg 1611 770
result_img/img_1039_236_0_PLATE.jpg 1611 767
result_img/img_1040_237_0_PLATE.jpg 1607 762
result_img/img_1041_238_0_PLATE.jpg 1607 756
result_img/img_1042_239_0_PLATE.jpg 1609 750
result_img/img_1043_240_0_PLATE.jpg 1606 743
result_img/img_1044_241_0_PLATE.jpg 1601 739
result_img/img_1045_242_0_PLATE.jpg 1597 733
result_img/img_1046_243_0_PLATE.jpg 1599 731
result_img/img_1047_244_0_PLATE.jpg 1599 727
result_img/img_1048_245_0_PLATE.jpg 1594 724
result_img/img_1049_246_0_PLATE.jpg 1595 721
result_img/img_1050_247_0_PLATE.jpg 1590 714
result_img/img_1051_248_0_PLATE.jpg 1592 709
result_img/img_1052_249_0_PLATE.jpg 1587 705
result_img/img_1053_250_0_PLATE.jpg 1582 695
result_img/img_1054_251_0_PLATE.jpg 1586 689
result_img/img_1055_252_0_PLATE.jpg 1582 684
result_img/img_1056_253_0_PLATE.jpg 1582 681
result_img/img_1057_254_0_PLATE.jpg 1576 677
result_img/img_1058_255_0_PLATE.jpg 1572 676
result_img/img_1059_256_0_PLATE.jpg 1569 669
result_img/img_1060_257_0_PLATE.jpg 1570 662
result_img/img_1061_258_0_PLATE.jpg 1561 660
result_img/img_1062_259_0_PLATE.jpg 1557 655
result_img/img_1063_260_0_PLATE.jpg 1555 651
result_img/img_1064_261_0_PLATE.jpg 1547 648
result_img/img_1065_262_0_PLATE.jpg 1542 647
result_img/img_1066_263_0_PLATE.jpg 1537 643
result_img/img_1067_264_0_PLATE.jpg 1526 640
result_img/img_1068_265_0_PLATE.jpg 1521 641
result_img/img_1069_266_0_PLATE.jpg 1519 641
result_img/img_1070_267_0_PLATE.jpg 1515 637
result_img/img_1071_268_0_PLATE.jpg 1510 628
result_img/img_1072_269_0_PLATE.jpg 1506 623
result_img/img_1073_270_0_PLATE.jpg 1499 621
result_img/img_1074_271_0_PLATE.jpg 1493 614
result_img/img_1075_272_0_PLATE.jpg 1491 608
result_img/img_1076_273_0_PLATE.jpg 1485 603
result_img/img_1077_274_0_PLATE.jpg 1483 601
result_img/img_1078_275_0_PLATE.jpg 1480 599
result_img/img_1079_276_0_PLATE.jpg 1468 600
result_img/img_1080_277_0_PLATE.jpg 1464 598
result_img/img_1081_278_0_PLATE.jpg 1459 599
result_img/img_1082_279_0_PLATE.jpg 1454 598
result_img/img_1083_280_0_PLATE.jpg 1451 597
result_img/img_1084_281_0_PLATE.jpg 1444 596
result_img/img_1085_282_0_PLATE.jpg 1440 595
result_img/img_1086_283_0_PLATE.jpg 1437 593
result_img/img_1087_284_0_PLATE.jpg 1432 592
result_img/img_1088_285_0_PLATE.jpg 1433 589
result_img/img_1089_286_0_PLATE.jpg 1432 587
result_img/img_1090_287_0_PLATE.jpg 1435 576
result_img/img_1091_288_0_PLATE.jpg 1432 576
result_img/img_1092_289_0_PLATE.jpg 1422 574
result_img/img_1093_290_0_PLATE.jpg 1419 574
result_img/img_1094_291_0_PLATE.jpg 1410 570
result_img/img_1095_292_0_PLATE.jpg 1406 566
result_img/img_1096_293_0_PLATE.jpg 1394 562
result_img/img_1097_294_0_PLATE.jpg 1383 560
result_img/img_1098_295_0_PLATE.jpg 1377 562
result_img/img_1099_296_0_PLATE.jpg 1372 560
result_img/img_1100_297_0_PLATE.jpg 1367 559
result_img/img_1101_298_0_PLATE.jpg 1365 559
result_img/img_1102_299_0_PLATE.jpg 1360 555
result_img/img_1103_300_0_PLATE.jpg 1357 555
result_img/img_1104_301_0_PLATE.jpg 1355 556
result_img/img_1105_302_0_PLATE.jpg 1353 558
result_img/img_1106_303_0_PLATE.jpg 1353 558
result_img/img_1107_304_0_PLATE.jpg 1350 557
result_img/img_1108_305_0_PLATE.jpg 1352 557
result_img/img_1109_306_0_PLATE.jpg 1348 554
result_img/img_1110_307_0_PLATE.jpg 1344 551
result_img/img_1111_308_0_PLATE.jpg 1339 550
result_img/img_1112_309_0_PLATE.jpg 1316 554
result_img/img_1112_310_0_PLATE.jpg 1339 550
result_img/img_1113_311_0_PLATE.jpg 1307 551
result_img/img_1114_312_0_PLATE.jpg 1303 546
result_img/img_1115_313_0_PLATE.jpg 1299 542
result_img/img_1116_314_0_PLATE.jpg 1299 539
result_img/img_1117_315_0_PLATE.jpg 1297 539
result_img/img_1118_316_0_PLATE.jpg 1293 537
result_img/img_1119_317_0_PLATE.jpg 1290 535
result_img/img_1120_318_0_PLATE.jpg 1289 531
result_img/img_1121_319_0_PLATE.jpg 1287 528
result_img/img_1122_320_0_PLATE.jpg 1284 526
result_img/img_1123_321_0_PLATE.jpg 1286 524
result_img/img_1124_322_0_PLATE.jpg 1281 523
result_img/img_1125_323_0_PLATE.jpg 1273 526
result_img/img_1126_324_0_PLATE.jpg 1269 525
result_img/img_1127_325_0_PLATE.jpg 1258 528
result_img/img_1128_326_0_PLATE.jpg 1251 533
result_img/img_1129_327_0_PLATE.jpg 1244 527
result_img/img_1130_328_0_PLATE.jpg 1228 522
result_img/img_1131_329_0_PLATE.jpg 1214 518
result_img/img_1132_330_0_PLATE.jpg 1213 519
result_img/img_1133_331_0_PLATE.jpg 1212 519
result_img/img_1134_332_0_PLATE.jpg 1208 517
result_img/img_1135_333_0_PLATE.jpg 1210 515
result_img/img_1136_334_0_PLATE.jpg 1208 514
result_img/img_1137_335_0_PLATE.jpg 1207 513
result_img/img_1138_336_0_PLATE.jpg 1207 512
result_img/img_1139_337_0_PLATE.jpg 1205 513
result_img/img_1145_338_0_PLATE.jpg 1162 479
result_img/img_1146_339_0_PLATE.jpg 1166 480
result_img/img_1147_340_0_PLATE.jpg 1157 481
result_img/img_1148_341_0_PLATE.jpg 1154 477
result_img/img_1149_342_0_PLATE.jpg 1146 475
result_img/img_1150_343_0_PLATE.jpg 1145 472
result_img/img_1151_344_0_PLATE.jpg 1142 475
result_img/img_1152_345_0_PLATE.jpg 1144 475
result_img/img_1153_346_0_PLATE.jpg 1140 477
result_img/img_1154_347_0_PLATE.jpg 1142 476
result_img/img_1155_348_0_PLATE.jpg 1141 473
result_img/img_1156_349_0_PLATE.jpg 1137 471
result_img/img_1157_350_0_PLATE.jpg 1131 474
result_img/img_1158_351_0_PLATE.jpg 1136 474
result_img/img_1159_352_0_PLATE.jpg 1140 473
result_img/img_1160_353_0_PLATE.jpg 1138 475
result_img/img_1161_354_0_PLATE.jpg 1132 474
result_img/img_1162_355_0_PLATE.jpg 1137 473
result_img/img_1163_356_0_PLATE.jpg 1130 474
result_img/img_1189_357_0_PLATE.jpg 987 441
result_img/img_1190_358_0_PLATE.jpg 986 441
result_img/img_1191_359_0_PLATE.jpg 985 439
